sequence_number	US	source_a	source_c	source_b	source_d	source_e	source_m	source_o	source_h	source_r	source_s	source_t	source_u	source_p	source_x	source_w	Freq	last_update_days_ago	1st_update_days_ago	Web order	Gender=male	Address_is_res	Purchase	Spending
1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	3662	3662	1	0	1	1	127.87
2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2900	2900	1	1	0	0	0
3	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	3883	3914	0	0	0	1	127.48
4	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	829	829	0	1	0	0	0
5	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	869	869	0	0	0	0	0
6	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1995	2002	0	0	1	0	0.06
7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1498	1529	0	0	1	0	0.06
8	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	3397	3397	0	1	0	0	0.08
9	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	525	2914	1	1	0	1	488.5
10	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3215	3215	0	0	0	1	173.5
11	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	734	734	0	1	0	0	0
12	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1275	1313	0	0	1	0	0.06
13	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2802	2802	1	1	0	0	0
14	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2081	2438	0	1	0	1	1416
15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1465	1465	0	0	1	1	192
16	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2523	2523	1	0	0	0	0
17	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1801	1828	1	0	1	0	0.06
18	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3694	3694	1	0	0	0	0
19	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1879	1914	1	1	1	1	129.56
20	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3120	3120	0	1	0	0	0
21	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	2943	2984	1	0	0	1	386
22	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1928	1983	0	1	0	1	160.55
23	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	310	310	0	0	1	0	0.07
24	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1463	1486	0	0	1	1	174.06
25	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	3613	3655	1	1	0	1	131.08
26	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2460	2732	1	0	0	1	188.9
27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3394	3394	0	0	0	0	0
28	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1569	1569	1	0	0	0	0
29	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	3299	3299	0	0	0	1	90
30	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	3744	3745	0	1	0	1	354.2
31	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3090	3090	0	0	0	0	0
32	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	2947	3171	1	0	0	1	352
33	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2123	2123	0	1	0	0	0.07
34	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2905	2905	1	1	0	0	0
35	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2005	2005	0	1	1	0	0
36	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1158	1502	0	1	1	0	0.06
37	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	2478	3103	0	1	0	1	184.5
38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1058	1058	0	0	0	0	0
39	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1774	1774	0	0	0	0	0
40	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3694	3694	1	0	0	0	0
41	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1752	1774	1	0	1	0	0.06
42	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3698	3698	0	1	0	1	33.62
43	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1318	2310	0	1	1	1	160.56
44	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	9	868	3138	1	0	1	1	638.74
45	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	2752	3914	0	1	0	1	638
46	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3338	3338	0	1	1	1	159
47	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3747	3747	0	0	0	0	0
48	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2905	2905	1	0	0	0	0
49	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1786	1822	0	0	0	1	40.55
50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	316	316	1	1	0	0	0
51	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2226	2899	0	1	0	1	232
52	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1920	1946	0	0	1	0	0.06
53	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	106	3573	1	0	0	1	1029.86
54	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1822	1822	1	1	0	0	0
55	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1170	1170	1	1	0	1	375
56	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3157	3157	0	1	1	0	0
57	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	1856	2424	0	0	1	1	361.56
58	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2212	2212	0	0	0	1	95
59	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	3338	4127	0	1	0	1	108.74
60	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3367	3367	0	1	0	0	0
61	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	2957	3278	1	1	0	1	135.58
62	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	834	834	0	1	0	0	0
63	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	2908	3544	0	1	0	1	260.57
64	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	906	906	1	1	0	1	43
65	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	1408	3746	0	1	1	1	388.63
66	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	1835	2926	1	0	0	1	79.52
67	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2803	2803	0	0	0	0	0.07
68	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	479	2107	1	1	0	1	394.45
69	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6	1470	3242	0	1	0	1	587.8
70	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	3654	3654	1	1	0	0	0.07
71	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	3716	3716	0	0	1	1	297.85
72	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3125	3125	0	0	0	0	0
73	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1995	2431	0	1	1	0	0.18
74	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3747	3747	0	1	0	0	0
75	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2438	2438	0	1	1	0	0
76	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2848	2848	1	1	0	0	0.07
77	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3125	3125	1	1	0	1	159.5
78	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	541	2862	1	1	1	1	49.5
79	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2859	2859	1	0	0	1	160.5
80	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1095	1095	1	0	1	0	0.06
81	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2508	2508	0	1	0	1	233.45
82	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2862	2906	0	0	0	1	128.8
83	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3745	3745	1	0	0	0	0
84	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3698	3698	1	0	0	1	97.94
85	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3746	3746	0	1	0	0	0
86	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2962	3243	1	0	0	1	132.35
87	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	841	1162	1	0	1	1	157.56
88	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2912	2912	1	1	0	0	0.07
89	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	458	3944	1	0	0	1	248
90	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1269	1269	1	0	0	1	276.5
91	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2982	2982	1	1	0	0	0
92	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1415	1428	1	0	1	0	0.06
93	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4005	4005	0	0	0	0	0
94	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2102	2102	1	1	0	1	53.5
95	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2872	2872	0	1	0	0	0.07
96	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2548	2548	1	0	0	1	229.5
97	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2740	2740	0	0	0	0	0
98	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217	217	0	0	0	0	0
99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	366	366	0	1	0	0	0
100	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	822	1850	1	0	1	1	286.51
101	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3746	3746	0	0	0	0	0
102	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	3772	3772	0	1	0	0	0.07
103	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2781	2781	0	1	0	0	0
104	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	511	511	0	0	0	0	0
105	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1112	1112	0	1	0	1	163.5
106	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2807	2807	1	0	0	1	405
107	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1011	1011	0	1	0	0	0
108	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2907	2907	0	1	0	1	159.5
109	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	3724	3724	0	1	0	1	305
110	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	3356	3356	0	0	0	0	0.08
111	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3791	3852	1	1	1	1	533.89
112	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	3642	3655	1	0	0	0	0.08
113	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4005	4005	1	1	0	1	105
